n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
398,1898,ITA,Ci pensiamo domani,Angelina Mango,Ci pensiamo domani,76,2023-05-12,AR,0.857,0.0425,180184,0.666,0.0738,122.045,0.759
399,1899,ITA,X CASO (feat. Sfera Ebbasta),Geolier,IL CORAGGIO DEI BAMBINI,74,2023-01-06,AR,0.781,0.334,215422,0.464,0.0443,100.021,0.322
400,2000,CZE,Dopamin,Viktor Sheen,Planeta opic,70,2023-10-13,AR,0.815,0.228,164000,0.543,0.258,120.048,0.409
401,2001,CZE,Království,Viktor Sheen,Planeta opic,67,2023-10-13,AR,0.804,0.479,190588,0.518,0.115,135.963,0.451
402,2002,CZE,Safír,Calin,ROADTRIP,67,2023-02-03,AR,0.711,0.0737,149589,0.578,0.0814,146.097,0.448
403,2003,CZE,Kdes to vzal?,Viktor Sheen,Planeta opic,65,2023-10-13,AR,0.737,0.174,145036,0.453,0.162,139.022,0.393
404,2004,CZE,Režim nerušit,Dollar Prync,Kures Drill,65,2023-08-18,AR,0.842,0.0984,186783,0.718,0.307,139.977,0.604
405,2005,CZE,WHO (feat. P T K),Viktor Sheen,Planeta opic,65,2023-10-13,AR,0.874,0.0192,171429,0.568,0.317,146.961,0.689
406,2006,CZE,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
407,2007,CZE,Givenchy,Robin Zoot,Givenchy,63,2023-06-23,AR,0.775,0.549,181224,0.552,0.209,98.038,0.237
408,2008,CZE,Habibi,STEIN27,PRESIDENT OF SEXICO,58,2023-08-25,AR,0.706,0.0021,146939,0.65,0.249,147.015,0.749
409,2009,CZE,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
410,2010,CZE,VZHŮRU CELOU NOC,P T K,SILENT KILL,61,2023-10-01,AR,0.871,0.196,180000,0.666,0.215,79.993,0.431
411,2011,CZE,Brick na brick,Hard Rico,Brick na brick,62,2023-09-06,AR,0.898,0.145,173731,0.541,0.301,134.037,0.49
412,2012,CZE,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
413,2013,CZE,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
414,2014,CZE,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.0335,130.09,0.324
415,2015,CZE,Probuzení,Viktor Sheen,Planeta opic,64,2023-10-13,AR,0.783,0.651,137622,0.607,0.466,142.794,0.555
416,2016,CZE,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
417,2017,CZE,Dívej,Calin,ROADTRIP,63,2023-02-03,AR,0.647,0.125,155493,0.551,0.205,141.913,0.29
418,2018,CZE,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,0.04,122.769,0.131
419,2019,CZE,STFU (feat. Calin & SIMILIVINLIFE),STEIN27,PRESIDENT OF SEXICO,62,2023-08-25,AR,0.691,0.0319,152583,0.886,0.081,151.023,0.481
420,2020,CZE,Slzy,Sofian Medjmedj,PROJECT⎜23,50,2023-10-19,AR,0.664,0.3,150927,0.67,0.112,135.954,0.509
421,2021,CZE,Ujde to,Viktor Sheen,Planeta opic,63,2023-10-13,AR,0.822,0.238,202667,0.531,0.387,135.083,0.418
422,2022,CZE,Stíny,Viktor Sheen,Příběhy a sny,62,2021-11-17,AR,0.533,0.0756,172541,0.784,0.164,92.42,0.564
423,2023,CZE,Hannah Montana,Calin,POPSTAR,63,2022-03-11,AR,0.583,0.0621,158608,0.784,0.0882,135.08,0.744
424,2024,CZE,U Hřiště 380,Rohony,U Hřiště 380,56,2023-10-20,AR,0.59,0.00525,150000,0.858,0.0575,159.934,0.364
425,2025,CZE,I'm Good (Blue),David Guetta,I'm Good (Blue),92,2022-08-26,AR,0.561,0.00383,175238,0.965,0.0343,128.04,0.304
426,2026,CZE,Na větvi,Viktor Sheen,Planeta opic,63,2023-10-13,AR,0.635,0.0509,140280,0.557,0.489,168.175,0.663
427,2027,CZE,King Kong,Ektor,King Kong,60,2023-06-09,AR,0.772,0.237,173589,0.847,0.0995,103.049,0.166
428,2028,CZE,Praha/Vídeň,Calin,POPSTAR,60,2022-03-11,AR,0.778,0.41,162462,0.449,0.0339,130.007,0.325
429,2029,CZE,OCD (feat. Annet X),Viktor Sheen,Planeta opic,62,2023-10-13,AR,0.642,0.102,127059,0.608,0.132,170.013,0.198
