n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
109,1109,USA,Agora Hills,Doja Cat,Scarlet,82,2023-09-20,AR,0.755,0.183,265360,0.687,0.101,123.01,0.381
110,1110,USA,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,0.157,169.994,0.564
111,1111,USA,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,98,2023-10-13,AR,0.787,0.15,267194,0.621,0.068,139.056,0.13
112,1112,USA,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.626,0.0656,279833,0.547,0.0342,109.946,0.192
113,1113,USA,fukumean,Gunna,a Gift & a Curse,95,2023-06-16,AR,0.847,0.119,125040,0.622,0.0903,130.001,0.22
114,1114,USA,500lbs,Lil Tecca,TEC,83,2023-09-22,AR,0.722,0.0942,144390,0.785,0.0763,122.986,0.529
115,1115,USA,Something in the Orange,Zach Bryan,Something in the Orange,90,2022-04-22,AR,0.369,0.555,228013,0.192,0.04,175.212,0.148
116,1116,USA,Standing Next to You,Jung Kook,GOLDEN,91,2023-11-03,AR,0.711,0.0447,206020,0.809,0.0955,106.017,0.816
117,1117,USA,First Person Shooter (feat. J. Cole),Drake,For All The Dogs,92,2023-10-06,AR,0.47,0.0277,247444,0.64,0.32,163.92,0.248
118,1118,USA,Last Night,Morgan Wallen,One Thing At A Time,86,2023-03-03,AR,0.492,0.467,163855,0.675,0.0389,203.759,0.478
119,1119,USA,I KNOW ?,Travis Scott,UTOPIA,92,2023-07-28,AR,0.927,0.0186,211582,0.619,0.0539,117.995,0.817
120,1120,USA,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),88,2023-10-26,AR,0.699,0.198,171819,0.621,0.0369,118.048,0.344
121,1121,USA,Snooze,SZA,SOS,92,2022-12-09,AR,0.559,0.141,201800,0.551,0.132,143.008,0.392
